Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,T21340,223.4000,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Simplex 223.40; simplex voice, shared with data",,,,
2,T21342,223.4200,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"T22: Simplex 223.42; simplex voice, shared with data",,,,
3,T21344,223.4400,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"T23: Simplex 223.44; simplex voice, shared with data",,,,
4,T21346,223.4600,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"T24: Simplex 223.46; simplex voice, shared with data",,,,
5,T21348,223.4800,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"T25: Simplex 223.48; simplex voice, shared with data",,,,
6,T21350,223.5000,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,T26: Simplex Calling 223.5; simplex calling,,,,
7,T27409,224.0900,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Cross-Band 224.09; cross-band repeat,,,,
8,T41EMD,223.8400,-,1.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,WA EMD Camp Murray; W7EMD; PNW220 Network (planned),,,,
9,T42LED,224.1200,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,K7LED E Tiger Mt; NTS; SATERN,,,,
10,T43BEA,224.3400,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,BEARS W Tiger Mt; K7NWS; PNW220 Network,,,,
11,T44MST,224.6800,-,1.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"MST Beacon Hill; MST tactical; WW7MST linked, but is intended to be an inbound repeater for remote stations. It will work with voice, but the system is not optimized for that path.",,,,
12,T51SLN,224.0200,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Shoreline; W7AUX,,,,
13,T52KRK,224.3600,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Kirkland; K7LWH,,,,
14,T71SMV,224.3800,-,1.600000,Tone,103.8,103.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Snohomish Co Marysville; WA7DEM,,,,
15,T81LFP,224.2200,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Lake Forest Park; WA7FUS; PNW220 Network,,,,
16,T82BAL,224.8800,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Baldi Mt; W7WRG; PNW220 Network,,,,
17,T83BFW,224.0800,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Baw Faw Pk; W7WRG; PNW220 Network,,,,
18,T84HST,224.2800,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Haystack Mt ; W7WRG; PNW220 Network,,,,
19,T85COU,224.4400,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Cougar Mt; KF7BJI; PNW220 Network,,,,
