n,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Skip,Step,Clock Shift,Tx Power,Tx Narrow,Pager Enable,Comment
1,144.3500,144.3500,,Simplex,Auto,144350,Y,None,,,Scan,Auto,N,High,N,N,D01: Data 144.350
2,144.3900,144.3900,,Simplex,Auto,144390,Y,None,,,Scan,Auto,N,High,N,N,D02: Data 144.390; APRS
3,144.9000,144.9000,,Simplex,Auto,144900,Y,None,,,Scan,Auto,N,High,N,N,"D03: Data 144.900; W7ACS-7, KD7DK-10 VARAFM"
4,144.9100,144.9100,,Simplex,Auto,144910,Y,None,,,Scan,Auto,N,High,N,N,D04: Data 144.910
5,144.9300,144.9300,,Simplex,Auto,144930,Y,None,,,Scan,Auto,N,High,N,N,D05: Data 144.930; K7XTN-10 VARAFM
6,144.9500,144.9500,,Simplex,Auto,144950,Y,None,,,Scan,Auto,N,High,N,N,D06: Data 144.950; W7EFR-10; K7CST-10
7,144.9700,144.9700,,Simplex,Auto,144970,Y,None,,,Scan,Auto,N,High,N,N,D07: Data 144.970
8,144.8700,144.8700,,Simplex,Auto,144870,Y,None,,,Scan,Auto,N,High,N,N,D08: Data 144.870; W7ACS-5 FirstHill VARAFM
9,144.9900,144.9900,,Simplex,Auto,144990,Y,None,,,Scan,Auto,N,High,N,N,D09: Data 144.990; ACS data simplex
10,145.0100,145.0100,,Simplex,Auto,145010,Y,None,,,Scan,Auto,N,High,N,N,D10: Data 145.010
11,145.0300,145.0300,,Simplex,Auto,145030,Y,None,,,Scan,Auto,N,High,N,N,D11: Data 145.030; W7MIR-10 VARAFM; WA7AUB-10
12,145.0500,145.0500,,Simplex,Auto,145050,Y,None,,,Scan,Auto,N,High,N,N,D12: Data 145.050; K7NHV-10 VARAFM; W7AUX-10 (packet)
13,145.0700,145.0700,,Simplex,Auto,145070,Y,None,,,Scan,Auto,N,High,N,N,D13: Data 145.070; W7VMI-10 VARAFM
14,145.0900,145.0900,,Simplex,Auto,145090,Y,None,,,Scan,Auto,N,High,N,N,D14: Data 145.090
15,145.1000,145.1000,,Simplex,Auto,145100,Y,None,,,Scan,Auto,N,High,N,N,D15: Data 145.100
16,145.5100,145.5100,,Simplex,Auto,145510,Y,None,,,Scan,Auto,N,High,N,N,D16: Data 145.510; ACS data simplex; Digital Voice simplex
17,145.5300,145.5300,,Simplex,Auto,145530,Y,None,,,Scan,Auto,N,High,N,N,D17: Data 145.530
18,145.5500,145.5500,,Simplex,Auto,145550,Y,None,,,Scan,Auto,N,High,N,N,D18: Data 145.550
19,145.5700,145.5700,,Simplex,Auto,145570,Y,None,,,Scan,Auto,N,High,N,N,D19: Data 145.570
20,145.5900,145.5900,,Simplex,Auto,145590,Y,None,,,Scan,Auto,N,High,N,N,D20: Data 145.590
21,145.6100,145.6100,,Simplex,Auto,145610,Y,None,,,Scan,Auto,N,High,N,N,D21: Data 145.610
22,145.6300,145.6300,,Simplex,Auto,145630,Y,None,,,Scan,Auto,N,High,N,N,D22: Data 145.630; W7EFR-12; KD7WDG-10
23,145.6500,145.6500,,Simplex,Auto,145650,Y,None,,,Scan,Auto,N,High,N,N,D23: Data 145.650; W7AUX-11 VARAFM
24,145.6700,145.6700,,Simplex,Auto,145670,Y,None,,,Scan,Auto,N,High,N,N,D24: Data 145.670; K7REM-10
25,145.6900,145.6900,,Simplex,Auto,145690,Y,None,,,Scan,Auto,N,High,N,N,D25: Data 145.690; W7EFR-2
26,145.7100,145.7100,,Simplex,Auto,145710,Y,None,,,Scan,Auto,N,High,N,N,D26: Data 145.710
