Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,144350,144.3500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 144.350,,,,
2,144390,144.3900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 144.390; APRS,,,,
3,144900,144.9000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 144.900; KD7DK-10 VARA,,,,
4,144910,144.9100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 144.910,,,,
5,144930,144.9300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 144.930,,,,
6,144950,144.9500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 144.950; W7EFR-10; K7CST-10,,,,
7,144970,144.9700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 144.970,,,,
8,144975,144.9750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 144.975,,,,
9,144990,144.9900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 144.990; ACS data simplex,,,,
10,145010,145.0100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.010,,,,
11,145030,145.0300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.030; W7MIR-10 VARA; WA7AUB-10,,,,
12,145050,145.0500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.050; K7NHV-10 VARA; W7AUX-10,,,,
13,145070,145.0700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.070; W7VMI-10 VARA,,,,
14,145090,145.0900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.090,,,,
15,145100,145.1000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.100,,,,
16,145510,145.5100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.510; ACS data simplex; Digital Voice simplex,,,,
17,145530,145.5300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.530,,,,
18,145550,145.5500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.550,,,,
19,145570,145.5700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.570,,,,
20,145590,145.5900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.590,,,,
21,145610,145.6100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.610,,,,
22,145630,145.6300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.630; W7EFR-12; KD7WDG-10,,,,
23,145650,145.6500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.650; W7AUX-11 VARA,,,,
24,145670,145.6700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.670; K7REM-10,,,,
25,145690,145.6900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.690; W7EFR-2,,,,
26,145710,145.7100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.710,,,,
27,145730,145.7300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.730,,,,
28,145750,145.7500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.750,,,,
29,145770,145.7700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.770,,,,
30,145790,145.7900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 145.790; Digital Voice simplex,,,,
31,430800,430.8000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 430.800; W7ACS-10 Beacon A,,,,
