Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
111,L01WSE,53.2900,-,1.700000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,West Seattle; W7AW West Seattle,,,,
112,L02PSR,52.8700,-,1.700000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PSRG; WW7PSR Capitol Hill/Beacon Hill,,,,
113,L21252,52.5250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex Calling 52.525; simplex calling,,,,
114,L22231,52.3100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.31; simplex,,,,
115,L23233,52.3300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.33; simplex,,,,
116,L24235,52.3500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.35; simplex,,,,
117,L25237,52.3700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.37; simplex,,,,
118,L26239,52.3900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.39; simplex,,,,
119,L27241,52.4100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.41; simplex,,,,
120,L28243,52.4300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.43; simplex,,,,
121,L29245,52.4500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.45; simplex,,,,
122,L30247,52.4700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.47; simplex,,,,
123,L31249,52.4900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.49; simplex,,,,
124,L32251,52.5100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.51; simplex,,,,
125,L33253,52.5300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.53; simplex,,,,
126,L34255,52.5500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Simplex 52.55; simplex,,,,
127,L35259,52.5900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data Simplex 52.59; simplex data; also D71,,,,
128,L41GRS,53.8700,-,1.700000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,WA EMD Grass Mt; W7SIX Grass Mt,,,,
129,L43ASH,53.3900,-,1.700000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,WA DNR Ashford; K7TGU Ashford,,,,
130,L52RED,53.0700,-,1.700000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Redmond; KC7IYE Redmond,,,,
131,L53KRK,53.1700,-,1.700000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Kirkland; K7LWH Kirkland,,,,
132,L71RVR,53.6700,-,1.700000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Pierce Co Grass Mt; K7DKK,,,,
133,L72BAI,53.4300,-,1.700000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Kitsap Co; Bainbridge Is; W7NPC,,,,
134,L73BLY,53.3700,-,1.700000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Blyn Mt; WR7V Blyn Mt; WA EMD R2,,,,
135,L81BFW,52.9300,-,1.700000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Baw Faw Pk; K7CH Baw Faw Pk,,,,
136,L82SOU,53.0300,-,1.700000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,South Mt; K7CH South Mt,,,,
137,L83EVT,53.1300,-,1.700000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Everett; KF7T Everett,,,,
138,L84TAC,53.1900,-,1.700000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Tacoma Baldi; K7HW Tacoma Baldi,,,,
139,L85CNS,53.2100,-,1.700000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Mt Constitution; W7MBY Mt Constitution,,,,
140,L86BAL,53.3300,-,1.700000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Baldi; N7OEP Baldi,,,,
141,L87SUL,53.3500,-,1.700000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Sultan; W7SKY Sultan,,,,
142,L88EAT,53.4100,-,1.700000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Eatonville; W7PFR Eatonville,,,,
143,L89CPK,53.5700,-,1.700000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Capitol Pk; W7SIX Capitol Pk,,,,
144,L90CUL,53.5900,-,1.700000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Cultas Mt; K7OET Cultas Mt,,,,
145,L91COU,53.8300,-,1.700000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Cougar Mt; N7ERP Cougar Mt,,,,
