Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Beacon,430.8000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 430.800; W7ACS-10 Beacon A,,,,
2,W7MIR,439.8000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 439.800; W7ACS-11 Beacon B,,,,
3,FirstH,430.8500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 430.850; W7ACS-12 First Hill A,,,,
4,KD7WDG,440.8500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 440.850; W7ACS-13 First Hill; KD7WDG VARA,,,,
5,CAP-A,430.9500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 430.950; W7ACS-14 Capitol Park A,,,,
6,CAP-B,439.9500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 439.950; W7ACS-15 Capitol Park B,,,,
7,MAGNOL,430.8750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 430.875; W7ACS-9 Magnolia,,,,
8,Broadview,431.0000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 431.000; W7ACS-8 Broadview (Northwest),,,,
9,KD7DK,144.9000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 144.900; KD7DK-10 VARA,,,,
10,NewWL,144.8700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Data 144.87,,,,
