Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,U01CLM,444.5500,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Columbia Center; coordination; W7ACS; Allstar 48844,,,,
2,U02CLO,444.5500,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Columbia Center Output; coordination simplex,,,,
3,U03BH1,440.5250,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Beacon Hill 1; tactical; W7ACS; Beacon Tower,,,,
4,U04BH2,442.3000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Beacon Hill 2; tactical; W7ACS; Beacon Tower; Allstar 48832,,,,
5,U05CH1,443.0250,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Capitol Hill 1; tactical; W7ACS; KP Hospital, Allstar 48841",,,,
6,U06CH2,442.8750,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Capitol Hill 2; tactical; W7ACS; Capitol Park, Allstar 48842",,,,
7,U07MAG,443.4750,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Magnolia; tactical; W7ACS; Allstar 48836,,,,
8,U08MPL,443.6500,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Maple Leaf; tactical; W7ACS,,,,
9,U09LFP,440.6000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Lake Forest Park; tactical; W7ACS; Allstar 48834,,,,
10,U10QA1,444.7000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Queen Anne 1; tactical; WW7SEA; Allstar 48847,,,,
11,U11WSE,441.8000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,West Seattle UHF; tactical; W7AW,,,,
12,U12SSC,443.3750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,South Seattle College; tactical; K7RSD,,,,
13,U13WCR,443.2000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Westcrest; tactical; W7ACS,,,,
14,U14QA2,444.4250,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Queen Anne 2; tactical; WW7SEA; KOMO Tower,,,,
15,U15CH3,444.3750,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Capitol Hill 3; tactical; AJ7JA; Madison/Pine,,,,
16,U16CH4,443.5250,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Capitol Hill 4; tactical; K7SLB; Madison/Pine,,,,
17,U21580,445.8000,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.800; simplex,,,,
18,U22582,445.8250,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.825; simplex,,,,
19,U23585,445.8500,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.850; simplex,,,,
20,U24587,445.8750,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.875; simplex,,,,
21,U25559,445.9000,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.900; simplex,,,,
22,U26597,445.9750,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex 445.975; simplex,,,,
23,U27600,446.0000,,0.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Simplex Calling 446.000; simplex calling,,,,
24,U31P1A,440.0000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 1A; ACS portable; W7ACS,,,,
25,U32P1B,440.0000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 1B; ACS portable; W7ACS,,,,
26,U33P1C,440.0000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 1C; ACS portable; W7ACS,,,,
27,U34P2A,443.0000,+,5.000000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 2A; ACS portable; W7ACS,,,,
28,U35P2B,443.0000,+,5.000000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 2B; ACS portable; W7ACS,,,,
29,U36P2C,443.0000,+,5.000000,TSQL,141.3,141.3,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,Portable Repeater 2C; ACS portable; W7ACS,,,,
30,U41CPK,444.9500,+,5.000000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,WA EMD Capitol Pk; N7UJK; BeachNet,,,,
31,U42MSV,443.5500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,MST VAMC UHF; WW7MST; MST tactical 70cm and 2m repeaters on the VAMC are currently linked,,,,
32,U43MSN,444.8250,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"MST UWMC Northwest; WW7MST; MST tactical, broken (2025/09)",,,,
33,U44MST,443.6750,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"MST Tacoma General Hosp; WW7MST; MST tactical operational, not linked",,,,
34,U45MSO,440.5500,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"MST St Peter Hosp Olympia; WW7MST; MST tactical operational, not linked",,,,
