Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,WW7PSR,146.960,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Capitol Hill, Seattle, WA",,,,
2,WW7PSR,52.870,-,1.700000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Seattle,,,,
3,W7PFR,53.410,-,1.700000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Eatonville,,,,
4,W7PFR,443.975,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Eatonville,,,,
5,WW7SEA,444.425,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Seattle,,,,
6,WW7SEA,444.700,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Seattle,,,,
7,W7DX,147.000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Redmond,,,,
8,W7JCR,145.150,-,0.600000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Port Townsend,,,,
9,AA7MI,440.725,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,Marrowstone Isl.,,,,
10,WA7DEM,146.775,-,0.600000,Tone,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Lynnwood, WA",,,,
11,WA7DEM,146.925,-,0.600000,Tone,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Granite Falls, WA",,,,
12,WA7DEM,224.380,-,1.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Marysville, WA",,,,
13,WA7DEM,442.975,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Clearview, WA",,,,
14,WA7DEM,443.725,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Mountlake Terrace, WA",,,,
15,WA7DEM,444.025,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Edmonds, WA",,,,
16,WA7DEM,444.200,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Marysville, WA",,,,
17,WA7DEM,444.300,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Darrington, WA",,,,
18,W7MIR,147.160,+,0.600000,Tone,146.2,146.2,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Mercer Island, WA",,,,
19,W7MIR,440.150,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Mercer Island, WA",,,,
20,W7DG,147.100,+,0.600000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Longview, WA",,,,
21,W7DG,147.300,+,0.600000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Woodland, WA",,,,
22,W7DG,224.140,-,1.600000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Longview, WA",,,,
23,W7DG,444.900,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Longview, WA",,,,
24,K6RFK,147.340,+,0.600000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Woodinville, WA",,,,
25,K6RFK,442.775,+,5.000000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Woodinville, WA",,,,
26,W7AAO,145.370,-,0.600000,Tone,136.5,136.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Enumclaw, WA",,,,
27,W7AAO,146.640,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Edgewood, WA",,,,
28,W7AAO,927.850,-,25.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Buckley, WA",,,,
29,WA7FW,146.760,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Federal Way, WA",,,,
30,WA7FW,147.040,+,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Federal Way, WA",,,,
31,WA7FW,442.925,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Federal Way, WA",,,,
32,WA7FW,442.950,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Federal Way, WA",,,,
33,KC7EQO,442.100,+,5.000000,Tone,100,100,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Blyn, WA",,,,
34,KC7Z,146.620,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Gold Mtn, WA",,,,
35,KC7Z,442.650,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Gold Mtn, WA",,,,
36,KC7Z,444.075,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,"Bremerton, WA",,,,
37,K7NWS,145.330,-,0.600000,Tone,179.9,179.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Tiger Mtn West, WA",,,,
38,K7NWS,224.340,-,1.600000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Tiger Mtn West, WA",,,,
39,K7NWS,442.075,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"Tiger Mtn West, WA",,,,
