Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,144350,144.3500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D01: Data 144.350,,,,
2,144390,144.3900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D02: Data 144.390; APRS,,,,
3,144900,144.9000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D03: Data 144.900,,,,
4,144910,144.9100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D04: Data 144.910; W7ACS-5 FirstHill VARAFM,,,,
5,144930,144.9300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D05: Data 144.930; K7XTN-10 VARAFM,,,,
6,144950,144.9500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D06: Data 144.950; W7EFR-10; K7CST-10,,,,
7,144970,144.9700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"D07: Data 144.970; W7ACS-7 Queen Anne, KD7DK-10 Ballard, both VARAFM",,,,
8,144870,144.8700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D08: Data 144.870,,,,
9,144990,144.9900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D09: Data 144.990; ACS data simplex,,,,
10,145010,145.0100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D10: Data 145.010,,,,
11,145030,145.0300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D11: Data 145.030; W7MIR-10 VARAFM; WA7AUB-10,,,,
12,145050,145.0500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D12: Data 145.050; K7NHV-10 VARAFM; W7AUX-10 (packet),,,,
13,145070,145.0700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D13: Data 145.070; W7VMI-10 VARAFM,,,,
14,145090,145.0900,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D14: Data 145.090,,,,
15,145100,145.1000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D15: Data 145.100,,,,
16,145510,145.5100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D16: Data 145.510; ACS data simplex; Digital Voice simplex,,,,
17,145530,145.5300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D17: Data 145.530,,,,
18,145550,145.5500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D18: Data 145.550,,,,
19,145570,145.5700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D19: Data 145.570,,,,
