Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,Bcn A,430.8000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D31: Data 430.800; W7ACS-10 Beacon 1 VARAFM,,,,
2,Bcn B,439.8000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D40: Data 439.800; W7ACS-11 Beacon 2 VARAFM,,,,
3,Hill A,430.8500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D33: Data 430.850; W7ACS-12 First Hill 1 VARAFM,,,,
4,Hill B,440.8500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D50: Data 440.850; W7ACS-13 First Hill 2; KD7WDG VARAFM,,,,
5,Cap A,430.9500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D37: Data 430.950; W7ACS-14 Capitol Park 1 VARAFM,,,,
6,Cap B,439.9500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D46: Data 439.950; W7ACS-15 Capitol Park 2 VARAFM,,,,
7,Magnol,430.8750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D34: Data 430.875; W7ACS-9 Magnolia VARAFM,,,,
8,BroadV,439.9750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D47: Data 439.975; W7ACS-8 Broadview (Northwest) VARAFM,,,,
9,QueenA,144.9700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"D07: Data 144.970; W7ACS-7 Queen Anne, KD7DK-10 Ballard",,,,
10,Ballard,144.9700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,"D07: Data 144.970; W7ACS-7 Queen Anne, KD7DK-10 Ballard",,,,
11,QueenA,52.6000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D60: Data 52.600; W7ACS-6 Queen Anne VARAFM,,,,
12,Hill,144.9100,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D04: Data 144.910; W7ACS-5 FirstHill VARAFM,,,,
13,K7XTN-10,144.9300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D05: Data 144.930; K7XTN-10 VARAFM,,,,
14,W7MIR-10,145.0300,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D11: Data 145.030; W7MIR-10 VARAFM; WA7AUB-10,,,,
15,K7NHV-10,145.0500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D12: Data 145.050; K7NHV-10 VARAFM; W7AUX-10 (packet),,,,
16,W7VMI-10,145.0700,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D13: Data 145.070; W7VMI-10 VARAFM,,,,
17,W7AUX-11,145.6500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D23: Data 145.650; W7AUX-11 VARAFM,,,,
18,W7MIR-11,430.8250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D32: Data 430.825; W7MIR-11 VARAFM,,,,
19,NC7G-10,439.8250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D41: Data 439.825; NC7G-10 VARAFM,,,,
20,W7AW-10,439.8500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D42: Data 439.850; W7AW-10 VARAFM (planned),,,,
21,WA7AUB-10,440.9000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D52: Data 440.900; WA7AUB-10 VARAFM,,,,
22,NK7Y,440.8500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D56: Data 440.850; Kitsap County DEM; VARAFM,,,,
23,NK7Y,223.5800,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,5.0W,D97: Data 223.580; Kitsap County DEM; VARAFM,,,,
