CH No,Name,Frequency,Dup,Offset,Tone,Repeater Tone,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip
1,L01WSE West Seattle,53.29,DUP-,1.7,Tone,100.0Hz,88.5,23,NN,FM,5,
2,L02PSR PSRG,52.87,DUP-,1.7,Tone,103.5Hz,88.5,23,NN,FM,5,
3,L21252 Simplex Calling 52.525,52.525,,0,,88.5Hz,88.5,23,NN,FM,5,
4,L22231 Simplex 52.31,52.31,,0,,88.5Hz,88.5,23,NN,FM,5,
5,L23233 Simplex 52.33,52.33,,0,,88.5Hz,88.5,23,NN,FM,5,
6,L24235 Simplex 52.35,52.35,,0,,88.5Hz,88.5,23,NN,FM,5,
7,L25237 Simplex 52.37,52.37,,0,,88.5Hz,88.5,23,NN,FM,5,
8,L26239 Simplex 52.39,52.39,,0,,88.5Hz,88.5,23,NN,FM,5,
9,L27241 Simplex 52.41,52.41,,0,,88.5Hz,88.5,23,NN,FM,5,
10,L28243 Simplex 52.43,52.43,,0,,88.5Hz,88.5,23,NN,FM,5,
11,L29245 Simplex 52.45,52.45,,0,,88.5Hz,88.5,23,NN,FM,5,
12,L30247 Simplex 52.47,52.47,,0,,88.5Hz,88.5,23,NN,FM,5,
13,L31249 Simplex 52.49,52.49,,0,,88.5Hz,88.5,23,NN,FM,5,
14,L32251 Simplex 52.51,52.51,,0,,88.5Hz,88.5,23,NN,FM,5,
15,L33253 Simplex 52.53,52.53,,0,,88.5Hz,88.5,23,NN,FM,5,
16,L34255 Simplex 52.55,52.55,,0,,88.5Hz,88.5,23,NN,FM,5,
17,L35259 Data Simplex 52.59,52.59,,0,,88.5Hz,88.5,23,NN,FM,5,
18,L41GRS WA EMD Grass Mt,53.87,DUP-,1.7,Tone,100.0Hz,88.5,23,NN,FM,5,
19,L43ASH WA DNR Ashford,53.39,DUP-,1.7,Tone,100.0Hz,88.5,23,NN,FM,5,
20,L52RED Redmond,53.07,DUP-,1.7,Tone,100.0Hz,88.5,23,NN,FM,5,
21,L53KRK Kirkland,53.17,DUP-,1.7,Tone,100Hz,88.5,23,NN,FM,5,
22,L71RVR Pierce Co Grass Mt,53.67,DUP-,1.7,Tone,136.5Hz,88.5,23,NN,FM,5,
23,L72BAI Kitsap Co,53.43,DUP-,1.7,Tone,100Hz,88.5,23,NN,FM,5,
24,L73BLY Blyn Mt,53.37,DUP-,1.7,Tone,100.0Hz,88.5,23,NN,FM,5,
25,L81BFW Baw Faw Pk,52.93,DUP-,1.7,Tone,100Hz,88.5,23,NN,FM,5,
26,L82SOU South Mt,53.03,DUP-,1.7,Tone,100.0Hz,88.5,23,NN,FM,5,
27,L83EVT Everett,53.13,DUP-,1.7,Tone,100.0Hz,88.5,23,NN,FM,5,
28,L84TAC Tacoma Baldi,53.19,DUP-,1.7,Tone,100Hz,88.5,23,NN,FM,5,
29,L85CNS Mt Constitution,53.21,DUP-,1.7,Tone,100Hz,88.5,23,NN,FM,5,
30,L86BAL Baldi,53.33,DUP-,1.7,Tone,100.0Hz,88.5,23,NN,FM,5,
31,L87SUL Sultan,53.35,DUP-,1.7,Tone,100.0Hz,88.5,23,NN,FM,5,
32,L88EAT Eatonville,53.41,DUP-,1.7,Tone,100Hz,88.5,23,NN,FM,5,
33,L89CPK Capitol Pk,53.57,DUP-,1.7,Tone,100.0Hz,88.5,23,NN,FM,5,
34,L90CUL Cultas Mt,53.59,DUP-,1.7,Tone,100.0Hz,88.5,23,NN,FM,5,
35,L91COU Cougar Mt,53.83,DUP-,1.7,Tone,123.0Hz,88.5,23,NN,FM,5,
