CH No,Name,Frequency,Dup,Offset,Tone,Repeater Tone,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip
1,U01CLM Columbia Center,444.55,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
2,U02CLO Columbia Center Output,444.55,,0,Tone,141.3Hz,88.5,23,NN,FM,5,
3,U03BH1 Beacon Hill 1,440.525,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
4,U04BH2 Beacon Hill 2,442.3,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
5,U05CH1 Capitol Hill 1,443.025,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
6,U06CH2 Capitol Hill 2,442.875,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
7,U07MAG Magnolia,443.475,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
8,U08MPL Maple Leaf,443.65,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
9,U09LFP Lake Forest Park,440.6,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
10,U10QA1 Queen Anne 1,444.7,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
11,U11WSE West Seattle UHF,441.8,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
12,U12SSC South Seattle College,443.375,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
13,U13WCR Westcrest,443.2,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
14,U14QA2 Queen Anne 2,444.425,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
15,U15CH3 Capitol Hill 3,444.375,DUP+,5.0,Tone,88.5Hz,88.5,23,NN,FM,5,
16,U16CH4 Capitol Hill 4,443.525,DUP+,5.0,Tone,110.9Hz,88.5,23,NN,FM,5,
17,U21580 Simplex 445.800,445.8,,0,Tone,141.3Hz,88.5,23,NN,FM,5,
18,U22582 Simplex 445.825,445.825,,0,Tone,141.3Hz,88.5,23,NN,FM,5,
19,U23585 Simplex 445.850,445.85,,0,Tone,141.3Hz,88.5,23,NN,FM,5,
20,U24587 Simplex 445.875,445.875,,0,Tone,141.3Hz,88.5,23,NN,FM,5,
21,U25559 Simplex 445.900,445.9,,0,Tone,141.3Hz,88.5,23,NN,FM,5,
22,U26597 Simplex 445.975,445.975,,0,Tone,141.3Hz,88.5,23,NN,FM,5,
23,U27600 Simplex Calling 446.000,446,,0,Tone,141.3Hz,88.5,23,NN,FM,5,
24,U31P1A Portable Repeater 1A,440,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
25,U32P1B Portable Repeater 1B,440,DUP+,5.0,Tone,123.0Hz,88.5,23,NN,FM,5,
26,U33P1C Portable Repeater 1C,440,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
27,U34P2A Portable Repeater 2A,443,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
28,U35P2B Portable Repeater 2B,443,DUP+,5.0,Tone,123.0Hz,88.5,23,NN,FM,5,
29,U36P2C Portable Repeater 2C,443,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
30,U41CPK WA EMD Capitol Pk,444.95,DUP+,5.0,Tone,118.8Hz,88.5,23,NN,FM,5,
31,U42MSV MST VAMC UHF,443.55,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
32,U43MSN MST UWMC Northwest,444.825,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
33,U44MST MST Tacoma General Hosp,443.675,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
34,U45MSO MST St Peter Hosp Olympia,440.55,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
35,U46ARC Red Cross NW Region,441.55,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
36,U51SLN Shoreline UHF,440.3,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
37,U52KRK Kirkland UHF,441.075,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
38,U53RED Redmond UHF,440.675,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
39,U54MER Mercer Is UHF,440.15,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
40,U55BEL Bellevue,441.1,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
41,U56SAM ESFR UHF,440.25,DUP+,5.0,Tone,123.0Hz,88.5,23,NN,FM,5,
42,U57SQV Snoq Valley UHF,441.825,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
43,U58SNQ Snoqualmie UHF,444.925,DUP+,5.0,Tone,85.4Hz,88.5,23,NN,FM,5,
44,U59DES Des Moines,443.7,DUP+,5.0,Tone,123.0Hz,88.5,23,NN,FM,5,
45,U60RNT Renton,441.975,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
46,U61HLN Highline ARC UHF,443.1,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
47,U62KDS Bellevue Alternate,444.775,DUP+,5.0,Tone,173.8Hz,88.5,23,NN,FM,5,
48,U63FED Federal Way UHF,442.95,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
49,U64VSH Vashon/Maury Is,443.5,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
50,U65BUR Burien,441.125,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
51,U66SL2 Shoreline UHF Alternate,442.825,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
52,U67NSE Northshore Kenmore LFP,442,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
53,U71SMT Snohomish Co Mntlk Ter,443.725,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
54,U72BAI Bainbridge Is,444.475,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
55,U81PER PSE Rattlesnake,441.775,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
56,U82PEB PSE Baldi,441.7,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
57,U83PEG PSE Green Mt,441.75,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
58,U84PEA PSE Anacortes,441.725,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
59,U85PEY PSE Mt Blyn,442.425,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
60,U86PES PSE Sumner,443.625,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
61,U87PPC K7PP Cougar,443.4,DUP+,5.0,Tone,123.0Hz,88.5,23,NN,FM,5,
62,U88PPG K7PP Gold,441.2,DUP+,5.0,Tone,123.0Hz,88.5,23,NN,FM,5,
63,U89PPK K7PP KO Pk,441.3,DUP+,5.0,Tone,123.0Hz,88.5,23,NN,FM,5,
