CH No,Name,Frequency,Dup,Offset,Tone,Repeater Tone,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip
1,WW7PSR Capitol Hill Seattle WA,146.96,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
2,WW7PSR Seattle,52.87,DUP-,1.7,Tone,103.5Hz,88.5,23,NN,FM,5,
3,W7PFR Eatonville,53.41,DUP-,1.7,Tone,100Hz,88.5,23,NN,FM,5,
4,W7PFR Eatonville,443.975,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
5,WW7SEA Seattle,444.425,DUP+,5.0,Tone,141.3Hz,88.5,23,NN,FM,5,
6,WW7SEA Seattle,444.7,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
7,W7DX Redmond,147,DUP-,0.6,Tone,103.5Hz,88.5,23,NN,FM,5,
8,W7JCR Port Townsend,145.15,DUP-,0.6,Tone,114.8Hz,88.5,23,NN,FM,5,
9,AA7MI Marrowstone Isl.,440.725,DUP+,5.0,Tone,114.8Hz,88.5,23,NN,FM,5,
10,WA7DEM Lynnwood WA,146.775,DUP-,0.6,Tone,156.7Hz,88.5,23,NN,FM,5,
11,WA7DEM Granite Falls WA,146.925,DUP-,0.6,Tone,156.7Hz,88.5,23,NN,FM,5,
12,WA7DEM Marysville WA,224.38,DUP-,1.6,Tone,103.5Hz,88.5,23,NN,FM,5,
13,WA7DEM Clearview WA,442.975,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
14,WA7DEM Mountlake Terrace WA,443.725,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
15,WA7DEM Edmonds WA,444.025,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
16,WA7DEM Marysville WA,444.2,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
17,WA7DEM Darrington WA,444.3,DUP+,5.0,Tone,156.7Hz,88.5,23,NN,FM,5,
18,W7MIR Mercer Island WA,147.16,DUP+,0.6,Tone,146.2Hz,88.5,23,NN,FM,5,
19,W7MIR Mercer Island WA,440.15,DUP+,5.0,Tone,103.5Hz,88.5,23,NN,FM,5,
20,W7DG Longview WA,147.1,DUP+,0.6,Tone,114.8Hz,88.5,23,NN,FM,5,
21,W7DG Woodland WA,147.3,DUP+,0.6,Tone,114.8Hz,88.5,23,NN,FM,5,
22,W7DG Longview WA,224.14,DUP-,1.6,Tone,114.8Hz,88.5,23,NN,FM,5,
23,W7DG Longview WA,444.9,DUP+,5.0,Tone,114.8Hz,88.5,23,NN,FM,5,
24,K6RFK Woodinville WA,147.34,DUP+,0.6,Tone,100Hz,88.5,23,NN,FM,5,
25,K6RFK Woodinville WA,442.775,DUP+,5.0,Tone,100Hz,88.5,23,NN,FM,5,
