CH No,Name,Frequency,Dup,Offset,Tone,Repeater Tone,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip
1,144350 D01: Data 144.350,144.35,,0,,88.5Hz,88.5,23,NN,FM,5,
2,144390 D02: Data 144.390,144.39,,0,,88.5Hz,88.5,23,NN,FM,5,
3,144900 D03: Data 144.900,144.9,,0,,88.5Hz,88.5,23,NN,FM,5,
4,144910 D04: Data 144.910,144.91,,0,,88.5Hz,88.5,23,NN,FM,5,
5,144930 D05: Data 144.930,144.93,,0,,88.5Hz,88.5,23,NN,FM,5,
6,144950 D06: Data 144.950,144.95,,0,,88.5Hz,88.5,23,NN,FM,5,
7,144970 D07: Data 144.970,144.97,,0,,88.5Hz,88.5,23,NN,FM,5,
8,144870 D08: Data 144.870,144.87,,0,,88.5Hz,88.5,23,NN,FM,5,
9,144990 D09: Data 144.990,144.99,,0,,88.5Hz,88.5,23,NN,FM,5,
10,145010 D10: Data 145.010,145.01,,0,,88.5Hz,88.5,23,NN,FM,5,
11,145030 D11: Data 145.030,145.03,,0,,88.5Hz,88.5,23,NN,FM,5,
12,145050 D12: Data 145.050,145.05,,0,,88.5Hz,88.5,23,NN,FM,5,
13,145070 D13: Data 145.070,145.07,,0,,88.5Hz,88.5,23,NN,FM,5,
14,145090 D14: Data 145.090,145.09,,0,,88.5Hz,88.5,23,NN,FM,5,
15,145100 D15: Data 145.100,145.1,,0,,88.5Hz,88.5,23,NN,FM,5,
16,145510 D16: Data 145.510,145.51,,0,,88.5Hz,88.5,23,NN,FM,5,
17,145530 D17: Data 145.530,145.53,,0,,88.5Hz,88.5,23,NN,FM,5,
18,145550 D18: Data 145.550,145.55,,0,,88.5Hz,88.5,23,NN,FM,5,
19,145570 D19: Data 145.570,145.57,,0,,88.5Hz,88.5,23,NN,FM,5,
20,145590 D20: Data 145.590,145.59,,0,,88.5Hz,88.5,23,NN,FM,5,
21,145610 D21: Data 145.610,145.61,,0,,88.5Hz,88.5,23,NN,FM,5,
22,145630 D22: Data 145.630,145.63,,0,,88.5Hz,88.5,23,NN,FM,5,
23,145650 D23: Data 145.650,145.65,,0,,88.5Hz,88.5,23,NN,FM,5,
24,145670 D24: Data 145.670,145.67,,0,,88.5Hz,88.5,23,NN,FM,5,
25,145690 D25: Data 145.690,145.69,,0,,88.5Hz,88.5,23,NN,FM,5,
26,145710 D26: Data 145.710,145.71,,0,,88.5Hz,88.5,23,NN,FM,5,
27,145730 D27: Data 145.730,145.73,,0,,88.5Hz,88.5,23,NN,FM,5,
28,145750 D28: Data 145.750,145.75,,0,,88.5Hz,88.5,23,NN,FM,5,
29,145770 D29: Data 145.770,145.77,,0,,88.5Hz,88.5,23,NN,FM,5,
30,145790 D30: Data 145.790,145.79,,0,,88.5Hz,88.5,23,NN,FM,5,
31,144630 D98: Data 144.630,144.63,,0,,88.5Hz,88.5,23,NN,FM,5,
32,430800 D31: Data 430.800,430.8,,0,,88.5Hz,88.5,23,NN,FM,5,
33,430825 D32: Data 430.825,430.825,,0,,88.5Hz,88.5,23,NN,FM,5,
