n,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Skip,Step,Clock Shift,Tx Power,Tx Narrow,Pager Enable,Comment
1,444.5500,449.5500,5.0000 MHz,Plus,Auto,U01CLM,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Columbia Center; coordination; W7ACS; Allstar 48844
2,444.5500,444.5500,,Simplex,Auto,U02CLO,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Columbia Center Output; coordination simplex
3,440.5250,445.5250,5.0000 MHz,Plus,Auto,U03BH1,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Beacon Hill 1; tactical; W7ACS; Beacon Tower
4,442.3000,447.3000,5.0000 MHz,Plus,Auto,U04BH2,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Beacon Hill 2; tactical; W7ACS; Beacon Tower; Allstar 48832
5,443.0250,448.0250,5.0000 MHz,Plus,Auto,U05CH1,Y,Tone,141.3,,Scan,Auto,N,High,N,N,"Capitol Hill 1; tactical; W7ACS; KP Hospital, Allstar 48841"
6,442.8750,447.8750,5.0000 MHz,Plus,Auto,U06CH2,Y,Tone,141.3,,Scan,Auto,N,High,N,N,"Capitol Hill 2; tactical; W7ACS; Capitol Park, Allstar 48842"
7,443.4750,448.4750,5.0000 MHz,Plus,Auto,U07MAG,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Magnolia; tactical; W7ACS; Allstar 48836
8,443.6500,448.6500,5.0000 MHz,Plus,Auto,U08MPL,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Maple Leaf; tactical; W7ACS
9,440.6000,445.6000,5.0000 MHz,Plus,Auto,U09LFP,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Lake Forest Park; tactical; W7ACS; Allstar 48834
10,444.7000,449.7000,5.0000 MHz,Plus,Auto,U10QA1,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Queen Anne 1; tactical; WW7SEA; Allstar 48847
11,441.8000,446.8000,5.0000 MHz,Plus,Auto,U11WSE,Y,Tone,141.3,,Scan,Auto,N,High,N,N,West Seattle UHF; tactical; W7AW
12,443.3750,448.3750,5.0000 MHz,Plus,Auto,U12SSC,Y,Tone,103.5,,Scan,Auto,N,High,N,N,South Seattle College; tactical; K7RSD
13,443.2000,448.2000,5.0000 MHz,Plus,Auto,U13WCR,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Westcrest; tactical; W7ACS
14,444.4250,449.4250,5.0000 MHz,Plus,Auto,U14QA2,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Queen Anne 2; tactical; WW7SEA; KOMO Tower
15,444.3750,449.3750,5.0000 MHz,Plus,Auto,U15CH3,Y,Tone,88.5,,Scan,Auto,N,High,N,N,Capitol Hill 3; tactical; AJ7JA; Madison/Pine
