n,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Skip,Step,Clock Shift,Tx Power,Tx Narrow,Pager Enable,Comment
1,146.960,146.360,600 kHz,Minus,Auto,WW7PSR,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Capitol Hill, Seattle, WA"
2,52.870,51.170,1.7000 MHz,Minus,Auto,WW7PSR,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Seattle
3,53.410,51.710,1.7000 MHz,Minus,Auto,W7PFR,Y,Tone,100,,Scan,Auto,N,High,N,N,Eatonville
4,443.975,448.975,5.0000 MHz,Plus,Auto,W7PFR,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Eatonville
5,444.425,449.425,5.0000 MHz,Plus,Auto,WW7SEA,Y,Tone,141.3,,Scan,Auto,N,High,N,N,Seattle
6,444.700,449.700,5.0000 MHz,Plus,Auto,WW7SEA,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Seattle
7,147.000,146.400,600 kHz,Minus,Auto,W7DX,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Redmond
8,145.150,144.550,600 kHz,Minus,Auto,W7JCR,Y,Tone,114.8,,Scan,Auto,N,High,N,N,Port Townsend
9,440.725,445.725,5.0000 MHz,Plus,Auto,AA7MI,Y,Tone,114.8,,Scan,Auto,N,High,N,N,Marrowstone Isl.
10,146.775,146.175,600 kHz,Minus,Auto,WA7DEM,Y,Tone,156.7,,Scan,Auto,N,High,Y,N,"Lynnwood, WA"
11,146.925,146.325,600 kHz,Minus,Auto,WA7DEM,Y,Tone,156.7,,Scan,Auto,N,High,Y,N,"Granite Falls, WA"
12,224.380,222.780,1.6000 MHz,Minus,Auto,WA7DEM,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Marysville, WA"
13,442.975,447.975,5.0000 MHz,Plus,Auto,WA7DEM,Y,Tone,156.7,,Scan,Auto,N,High,Y,N,"Clearview, WA"
14,443.725,448.725,5.0000 MHz,Plus,Auto,WA7DEM,Y,Tone,156.7,,Scan,Auto,N,High,Y,N,"Mountlake Terrace, WA"
15,444.025,449.025,5.0000 MHz,Plus,Auto,WA7DEM,Y,Tone,156.7,,Scan,Auto,N,High,Y,N,"Edmonds, WA"
16,444.200,449.200,5.0000 MHz,Plus,Auto,WA7DEM,Y,Tone,156.7,,Scan,Auto,N,High,Y,N,"Marysville, WA"
17,444.300,449.300,5.0000 MHz,Plus,Auto,WA7DEM,Y,Tone,156.7,,Scan,Auto,N,High,Y,N,"Darrington, WA"
18,147.160,147.760,600 kHz,Plus,Auto,W7MIR,Y,Tone,146.2,,Scan,Auto,N,High,N,N,"Mercer Island, WA"
19,440.150,445.150,5.0000 MHz,Plus,Auto,W7MIR,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Mercer Island, WA"
20,147.100,147.700,600 kHz,Plus,Auto,W7DG,Y,Tone,114.8,,Scan,Auto,N,High,N,N,"Longview, WA"
21,147.300,147.900,600 kHz,Plus,Auto,W7DG,Y,Tone,114.8,,Scan,Auto,N,High,N,N,"Woodland, WA"
22,224.140,222.540,1.6000 MHz,Minus,Auto,W7DG,Y,Tone,114.8,,Scan,Auto,N,High,N,N,"Longview, WA"
23,444.900,449.900,5.0000 MHz,Plus,Auto,W7DG,Y,Tone,114.8,,Scan,Auto,N,High,N,N,"Longview, WA"
24,147.340,147.940,600 kHz,Plus,Auto,K6RFK,Y,Tone,100,,Scan,Auto,N,High,N,N,"Woodinville, WA"
25,442.775,447.775,5.0000 MHz,Plus,Auto,K6RFK,Y,Tone,100,,Scan,Auto,N,High,N,N,"Woodinville, WA"
26,145.370,144.770,600 kHz,Minus,Auto,W7AAO,Y,Tone,136.5,,Scan,Auto,N,High,N,N,"Enumclaw, WA"
27,146.640,146.040,600 kHz,Minus,Auto,W7AAO,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Edgewood, WA"
28,927.850,902.850,25.0000 MHz,Minus,Auto,W7AAO,Y,Tone,114.8,,Scan,Auto,N,High,N,N,"Buckley, WA"
29,146.760,146.160,600 kHz,Minus,Auto,WA7FW,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Federal Way, WA"
30,147.040,147.640,600 kHz,Plus,Auto,WA7FW,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Federal Way, WA"
31,442.925,447.925,5.0000 MHz,Plus,Auto,WA7FW,Y,None,,,Scan,Auto,N,High,N,N,"Federal Way, WA"
32,442.950,447.950,5.0000 MHz,Plus,Auto,WA7FW,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Federal Way, WA"
33,442.100,447.100,5.0000 MHz,Plus,Auto,KC7EQO,Y,Tone,100,,Scan,Auto,N,High,N,N,"Blyn, WA"
34,146.620,146.020,600 kHz,Minus,Auto,KC7Z,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Gold Mtn, WA"
35,442.650,447.650,5.0000 MHz,Plus,Auto,KC7Z,Y,Tone,103.5,,Scan,Auto,N,High,Y,N,"Gold Mtn, WA"
36,444.075,449.075,5.0000 MHz,Plus,Auto,KC7Z,Y,Tone,103.5,,Scan,Auto,N,High,Y,N,"Bremerton, WA"
37,145.330,144.730,600 kHz,Minus,Auto,K7NWS,Y,Tone,179.9,,Scan,Auto,N,High,N,N,"Tiger Mtn West, WA"
38,224.340,222.740,1.6000 MHz,Minus,Auto,K7NWS,Y,Tone,110.9,,Scan,Auto,N,High,N,N,"Tiger Mtn West, WA"
39,442.075,447.075,5.0000 MHz,Plus,Auto,K7NWS,Y,Tone,110.9,,Scan,Auto,N,High,N,N,"Tiger Mtn West, WA"
40,53.030,51.330,1.7000 MHz,Minus,Auto,K7CH,Y,Tone,114.8,,Scan,Auto,N,High,N,N,"Baw Faw Peak, WA"
44,443.325,448.325,5.0000 MHz,Plus,Auto,N9VW,Y,Tone,103.5,,Scan,Auto,N,High,N,N,Cougar Mtn.
45,147.100,147.700,600 kHz,Plus,Auto,KC7RAS,Y,Tone,123,,Scan,Auto,N,High,N,N,"Cougar Mtn, WA"
46,147.360,147.960,600 kHz,Plus,Auto,W7PIG,Y,Tone,127.3,,Scan,Auto,N,High,N,N,"Camano Island, WA"
47,223.880,222.280,1.6000 MHz,Minus,Auto,W7PIG,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Camano Island, WA"
48,441.050,446.050,5.0000 MHz,Plus,Auto,W7PIG,Y,Tone,127.3,,Scan,Auto,N,High,N,N,"Camano Island, WA"
49,223.960,222.360,1.6000 MHz,Minus,Auto,WA7TBP,Y,Tone,123,,Scan,Auto,N,High,N,N,"Carnation, WA"
50,224.020,222.420,1.6000 MHz,Minus,Auto,W7AUX,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Shoreline, WA"
51,440.300,445.300,5.0000 MHz,Plus,Auto,W7AUX,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Shoreline, WA"
52,442.825,447.825,5.0000 MHz,Plus,Auto,W7AUX,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Shoreline, WA"
53,927.638,902.638,25.0000 MHz,Minus,Auto,W7AUX,Y,Tone,114.8,,Scan,Auto,N,High,N,N,"Shoreline, WA"
54,444.450,449.450,5.0000 MHz,Plus,Auto,K7CH,Y,Tone,100,,Scan,Auto,N,High,N,N,"Baw Faw Peak, WA"
55,146.820,146.220,600 kHz,Minus,Auto,K7LED,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Tiger Mtn East, WA"
56,224.120,222.520,1.6000 MHz,Minus,Auto,K7LED,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Tiger Mtn East, WA"
57,53.290,51.590,1.7000 MHz,Minus,Auto,W7AW,Y,Tone,100,,Scan,Auto,N,High,N,N,West Seattle
58,145.130,144.530,600 kHz,Minus,Auto,W7AW,Y,Tone,103.5,,Scan,Auto,N,High,N,N,14858;West Seattle
59,441.800,446.800,5.0000 MHz,Plus,Auto,W7AW,Y,Tone,141.3,,Scan,Auto,N,High,N,N,West Seattle
60,145.190,144.590,600 kHz,Minus,Auto,N7GDE,Y,Tone,127.3,,Scan,Auto,N,High,N,N,"Lyman Mtn, WA"
61,146.720,146.120,600 kHz,Minus,Auto,N7SK,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Shelton, WA"
62,443.250,448.250,5.0000 MHz,Plus,Auto,N7SK,Y,Tone,100,,Scan,Auto,N,High,N,N,"Shelton, WA"
63,927.413,902.413,25.0000 MHz,Minus,Auto,N7SK,Y,Tone,114.8,,Scan,Auto,N,High,N,N,"Shelton, WA"
64,147.180,147.780,600 kHz,Plus,Auto,WA7LAW,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Everett, WA"
65,444.575,449.575,5.0000 MHz,Plus,Auto,WA7LAW,Y,Tone,103.5,,Scan,Auto,N,High,N,N,"Everett, WA"
66,147.280,147.880,600 kHz,Plus,Auto,K7PP,Y,Tone,123,,Scan,Auto,N,High,N,N,"Mt Octopus, WA"
67,441.200,446.200,5.0000 MHz,Plus,Auto,K7PP,Y,Tone,123,,Scan,Auto,N,High,N,N,"Gold Mtn, WA"
68,441.300,446.300,5.0000 MHz,Plus,Auto,K7PP,Y,Tone,123,,Scan,Auto,N,High,N,N,"Ko Peak, WA"
69,443.400,448.400,5.0000 MHz,Plus,Auto,K7PP,Y,Tone,123,,Scan,Auto,N,High,N,N,"Cougar Mtn, WA"
70,441.175,446.175,5.0000 MHz,Plus,Auto,KC7Z,Y,Tone,103.5,,Scan,Auto,N,High,Y,N,"Gold Mtn, WA"
