COMMUNICATIONS RESOURCE AVAILABILITY WORKSHEET,,,,,,,Frequency Band,,,Description,
,,,,,,,Amateur,,,20230505,
,,,,,,,,,,,
Ch #,"Channel
Configuration",Display Name,Channel/Repeater Name,RX Freq,"N/W
L/C/U","Rx Tone,
CC/TS/TG",TX Freq,"N/W
L/C/U","Tx Tone,
CC/TS/TG",Mode,Remarks
Analog Voice — VHF High (2m),,,,,,,,,,,
V01,Repeater,V01PSR,PSRG,146.9600,W,CSQ†,146.3600,W,103.5,A,coordination; WW7PSR; Allstar 2462
V02,Simplex,V02PSO,PSRG Output,146.9600,W,CSQ,146.9600,W,103.5,A,coordination simplex
V03,Repeater,V03DXC,WW DX Club,147.0000,W,CSQ†,146.4000,W,103.5,A,tactical; W7DX
V04,Repeater,V04WSE,West Seattle VHF,145.1300,W,CSQ,144.5300,W,103.5,A,tactical; W7AW; shared non-protected
⋮,,,,,,,,,,,
V21,Simplex,V21S52,Simplex Calling 146.52,146.5200,W,CSQ,146.5200,W,141.3,A,simplex calling
V22,Simplex,V22S54,Simplex 146.54,146.5400,W,CSQ,146.5400,W,141.3,A,simplex
V23,Simplex,V23S56,Simplex 146.56,146.5600,W,CSQ,146.5600,W,141.3,A,simplex
V24,Simplex,V24S58,Simplex 146.58,146.5800,W,CSQ,146.5800,W,141.3,A,simplex
V25,Simplex,V25S48,Simplex 147.48,147.4800,W,CSQ,147.4800,W,141.3,A,simplex; Shilshole Bay Hub
V26,Simplex,V26S52,Simplex 147.52,147.5200,W,CSQ,147.5200,W,141.3,A,simplex
V27,Simplex,V27S54,Simplex 147.54,147.5400,W,CSQ,147.5400,W,141.3,A,simplex
V28,Simplex,V28S56,Simplex 147.56,147.5600,W,CSQ,147.5600,W,141.3,A,simplex
V29,Simplex,V29S58,Simplex 147.58,147.5800,W,CSQ,147.5800,W,141.3,A,simplex
V30,Simplex,V30S60,Simplex 147.60,147.6000,W,CSQ,147.6000,W,141.3,A,simplex
V31,Simplex,V31SXB,Simplex Cross-Band 146.60,146.6000,W,CSQ,146.6000,W,141.3,A,simplex cross-band link
⋮,,,,,,,,,,,
V41,Repeater,V41KCA,KC ARES Tiger,147.0800,W,CSQ†,147.6800,W,110.9,A,KC ARES; WA EMD R6; WW7STR
V42,Repeater,V42SAR,KC SAR/ECC Rattlesnake,145.1100,W,CSQ†,144.5100,W,127.3,A,KC7SAR
